|brand|name|80PLUS|規格|奥行|ｹｰﾌﾞﾙ|EPS 8pin|OEM|ベースモデル|PCB|1次側方式|1次側Cap(s)|2次側方式|2次側液体Caps|2次側固体Caps|プラグイン基板Caps|ファン|ﾌｧﾝﾚｽ|備考|画像等1|画像等2|画像等3|画像等4|h
|SILVERSTONE|[[SST-ET750-G:https://kakaku.com/item/K0000993125/]]|Gold|TFX|140|fixed|x1|CWT|CWT GPS|片面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC|日本メーカー 105c?|同期整流 + DC/DC|不明 105c|不明|n/a|不明|n/a|-|||||
|SILVERSTONE|[[SST-ET750-HG:https://kakaku.com/item/K0001017319/]]|Gold|ATX|160|semi|x1|CWT|CWT GPS|片面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC|日本メーカー 105c|同期整流 + DC/DC|CapXon / Su'scon / JunFu / ChengX 105c|APAQ / Elite|n/a|Yateloon D14SM-12|n/a|-|[[link:https://www.profesionalreview.com/2018/06/03/silverstone-et750-hg-gold-review/]]|[[link:https://tecnolocura.es/silverstone-et750-hg-psu-review/]]|[[link:https://aphnetworks.com/reports/silverstone-essential-gold-et750-hg-750w/3]]|[[link:https://bit-tech.net/reviews/tech/psus/silverstone-essential-gold-750w-review/1/]]|
|SILVERSTONE|[[SST-ST30SF V2:https://kakaku.com/item/K0000927889/]]|Bronze|SFX|100|fixed|x1|Sirtec|(SST-ST45SF V3)|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|日本メーカー 105c|ﾀﾞｲｵｰﾄﾞ整流 + DC/DC|chemi-con / TEAPO 105c|n/a|Teapo|Globefan S0921512M|n/a|-|[[link:https://smallformfactor.net/reviews/silverstone-st30sf-v2-0-st45sf-v3-0-review/]]|[[link:https://www.anandtech.com/show/11070/the-silverstone-st30sf-st45sf-sfx-psu-review/2]]|[[link:https://www.cybenetics.com/index.php?option=database&manfID=51&volts=1]]||
|SILVERSTONE|[[SST-ST40F-ESB:https://kakaku.com/item/K0000738815/]]|Bronze|ATX|140|fixed|x1|Enhance|Enhance ATX1200B|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|不明|ﾀﾞｲｵｰﾄﾞ整流 + 12V/5V一括制御|不明 105c|n/a|n/a|不明|n/a|V2|[[link:https://www.silverstonetek.com/product.php?pid=556]]||||
|SILVERSTONE|[[SST-ST45SF:https://kakaku.com/item/K0000102888/]]|Bronze|SFX|140|fixed|x1|FSP|FSP SFX GHS|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|不明|ﾀﾞｲｵｰﾄﾞ整流 + 12V/5V一括制御|不明 105c|n/a|n/a|不明|n/a|-|[[link:https://www.silverstonetek.com/product.php?pid=253&area=jp]]||||
|SILVERSTONE|[[SST-ST45SF V3:https://kakaku.com/item/K0000935379/]]|Bronze|SFX|100|fixed|x1|Sirtec|(SST-ST45SF V3)|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|日本メーカー 105c|ﾀﾞｲｵｰﾄﾞ整流 + DC/DC|chemi-con / TEAPO 105c|n/a|Teapo|Globefan S0921512H|n/a|-|[[link:https://smallformfactor.net/reviews/silverstone-st30sf-v2-0-st45sf-v3-0-review/]]|[[link:https://www.anandtech.com/show/11070/the-silverstone-st30sf-st45sf-sfx-psu-review/2]]|[[link:https://www.cybenetics.com/index.php?option=database&manfID=51&volts=1]]||
|SILVERSTONE|[[SST-ST45SF-G:https://kakaku.com/item/K0000401596/]]|Gold|SFX|100|full|x1|Enhance|Enhance ENP7100S|両面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC|日本メーカー 105c|同期整流 + DC/DC|chemi-con / rubycon 105c|Teapo 105c|n/a|ADDA AD0812HB-D70 or YONGLIN TECH DFB801512H|n/a|-|[[link:https://www.hardocp.com/article/2013/03/14/silverstone_sfx_st45sfg_450w_power_supply_review/3]]|[[link:https://diit.cz/clanek/silverstone-sfx-series-450-w-sst-st45sf-g/sekundarni-strana-kvalita-provedeni]]|[[link:https://www.59hardware.net/articles/alimentations/alimentation-sfx-silverstone-sst-st45sf-g-2014060916067/all.html]]||
|SILVERSTONE|[[SST-ST50F-ESB:https://kakaku.com/item/K0000738816/]]|Bronze|ATX|140|fixed|x1|Enhance|Enhance ATX1200B|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|不明|ﾀﾞｲｵｰﾄﾞ整流 + 12V/5V一括制御|不明 105c|n/a|n/a|不明|n/a|V2|[[link:https://www.silverstonetek.com/product.php?pid=557]]||||
|SILVERSTONE|[[SST-ST50F-ESG:https://kakaku.com/item/K0000614642/]]|Gold|ATX|140|semi|x1|FSP|FSP Raider|片面|ｱｸﾃｨﾌﾞｸﾗﾝﾌﾟ|Panasonic 105c|同期整流 + 5V/3.3V一括制御|chemi-con / rubycon 105c|n/a|n/a|Yateloon D12SM-12|n/a|-|[[link:https://www.%65xpreview.com/32812-all.html]]|[[link:https://lab501.ro/carcase-surse/silverstone-strider-essential-gold-500w-st50f-esg-review/3]]|||
|SILVERSTONE|[[SST-ST60F-ESB:https://kakaku.com/item/K0000614644/]]|Bronze|ATX|140|fixed|x1|Enhance|Enhance ATX1200B|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|不明|ﾀﾞｲｵｰﾄﾞ整流 + 12V/5V一括制御|不明 105c|n/a|n/a|不明|n/a|V2|[[link:https://www.silverstonetek.com/product.php?pid=463]]||||
|SILVERSTONE|[[SST-ST60F-PB:https://kakaku.com/item/K0000723873/]]|Bronze|ATX|140|semi|x1|Enhance|Enhance ATX1200B|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|Teapo 85c|ﾀﾞｲｵｰﾄﾞ整流 + 12V/5V一括制御|Teapo / TAICON 105c|n/a|不明|Yateloon D12SH-12|n/a|-|[[link:https://nl.hardware.info/product/275000/silverstone-strider-plus-600w]]|[[link:http://www.tweaks.pl/zasilacze/siverstone-strider-plus-st60f-pb-600w-test-modularnego-zasilacza/3/]]|[[link:https://www.ix%62t.com/power/psu/silverstone-st60f-pb-2015.shtml]]||
|SILVERSTONE|[[SST-ST70F-ESB:https://kakaku.com/item/K0000614643/]]|Bronze|ATX|140|semi|x1|Enhance|Enhance ATX1200B|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|不明|ﾀﾞｲｵｰﾄﾞ整流 + 12V/5V一括制御|不明 105c|n/a|n/a|不明|n/a|-|[[link:https://www.silverstonetek.com/product.php?pid=464&area=jp]]||||
|SILVERSTONE|[[SST-TX300:https://kakaku.com/item/K0000951442/]]|Bronze|TFX|175|fixed|x1|CWT|CWT GPF|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|不明|ﾀﾞｲｵｰﾄﾞ整流 + 12V/5V一括制御|不明 105c|n/a|n/a|不明|n/a|-|[[link:https://www.tomshardware.com/news/tx300-silverstone-first-tfx-psu,34470.html]]|[[link:https://ru.gecid.com/power/chieftec_gpf-250p/?s=all]]|||
|Thermaltake|[[SMART 350W STANDARD PS-SPD-0350NPCWJP-W:https://kakaku.com/item/K0000873512/]]|Standard|ATX|140|fixed|x1|HKC(九州陽光電源)?|不明|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|Teapo 85c|ﾀﾞｲｵｰﾄﾞ整流 + 12V/5V一括制御|ChengX 105c|n/a|n/a|不明|n/a|-|[[link:https://www.ask-corp.jp/products/thermaltake/power-supply/smart-standard.html]]||||
|Thermaltake|[[SMART 500W STANDARD PS-SPD-0500NPCWJP-W:https://kakaku.com/item/K0000873513/]]|Standard|ATX|140|fixed|x1|HKC(九州陽光電源)?|不明|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|Teapo 85c|ﾀﾞｲｵｰﾄﾞ整流 + 12V/5V一括制御|ChengX 105c|n/a|n/a|不明|n/a|-|[[link:https://www.ask-corp.jp/products/thermaltake/power-supply/smart-standard.html]]||||
|Thermaltake|[[SMART 600W STANDARD PS-SPD-0600NPCWJP-W:https://kakaku.com/item/K0000873514/]]|Standard|ATX|140|fixed|x1|HKC(九州陽光電源)?|不明|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|Teapo 85c|ﾀﾞｲｵｰﾄﾞ整流 + 12V/5V一括制御|ChengX 105c|n/a|n/a|不明|n/a|-|[[link:https://www.ask-corp.jp/products/thermaltake/power-supply/smart-standard.html]]||||
