|※|brand|name|80PLUS|規格|奥行|ｹｰﾌﾞﾙ|EPS 8pin|OEM|ベースモデル|PCB|1次側方式|1次側Cap(s)|2次側方式|2次側液体Caps|2次側固体Caps|プラグイン基板Caps|ファン|ﾌｧﾝﾚｽ|備考|画像等1|画像等2|画像等3|画像等4|h
|終売|Cooler Master|[[&#x4d;asterWatt 650 MPX-6501-AMAAB-JP:https://kakaku.com/item/K0001010190/]]|Bronze|ATX|140|semi|x1|HEC|(&#x4d;asterWatt)|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|Teapo 85c|ﾀﾞｲｵｰﾄﾞ整流 + DC/DC|TEAPO 105c|FPCAP|TEAPO 105c|CM Silencio FP DF1202512RFLN|n/a|3C認証：2017010907006836|[[link:https://www.kitguru.net/components/power-supplies/zardon/cooler-master-&#x4d;asterWatt-650-power-supply-review/4/]]|[[link:https://pcper.com/2018/10/cooler-master-&#x4d;asterWatt-650w-power-supply-review/3/]]|||
|終売|Cooler Master|[[&#x4d;asterWatt 750 MPX-7501-AMAAB-JP:https://kakaku.com/item/K0001010191/]]|Bronze|ATX|140|semi|x1|HEC|(&#x4d;asterWatt)|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|Elite 85c|ﾀﾞｲｵｰﾄﾞ整流 + DC/DC|TEAPO 105c|FPCAP|TEAPO 105c|CM Silencio FP DF1202512RFLN|n/a|3C認証：2017010907006836|[[link:http://www.f14lab.com/2017/12/review-cooler-master-master-watt-750.html]]|[[link:https://i2hard.ru/publications/22367/]]|[[link:https://www.pctekreviews.com/Reviews/CMMPX750.aspx]]||
|終売|Cooler Master|[[MWE Bronze 450 MPX-4501-ACAAB-JP:https://kakaku.com/item/K0001010185/]]|Bronze|ATX|140|fixed|x1|HEC|(&#x4d;asterWatt)|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|? Elite 85c|ﾀﾞｲｵｰﾄﾞ整流 + DC/DC|? TEAPO 105c|? FPCAP|n/a|CM Silencio FP DF1202512RFLN|yes|3C認証：2017010907002561|||||
|終売|Cooler Master|[[MWE Bronze 650 MPX-6501-ACAAB-JP:https://kakaku.com/item/K0001010187/]]|Bronze|ATX|140|fixed|x1|HEC|(&#x4d;asterWatt)|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|Elite 85c|ﾀﾞｲｵｰﾄﾞ整流 + DC/DC|TEAPO 105c|FPCAP|n/a|CM Silencio FP DF1202512RFLN|yes|3C認証：2017010907006836|[[link:http://www.f14lab.com/2017/12/review-cooler-master-mwe-bronze-650-650w.html]]|[[link:https://www.coolpc.com.tw/phpBB2/viewtopic.php?f=69&t=241705&p=632368]]|||
||Cooler Master|[[MWE 450 Bronze-V2 MPE-4501-ACAAB-JP:https://kakaku.com/item/K0001217996/]]|Bronze|ATX|140|fixed|x1|Gospower|不明|片面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC|Elite 85c|同期整流 + DC/DC|Elite 105c|&#x43;apXon|n/a|DF1202512SELN|yes|https://ru.gecid.com/power/cooler_master_mwe_bronze_650/|||||
||Cooler Master|[[MWE 550 Bronze-V2 MPE-5501-ACAAB-JP:https://kakaku.com/item/K0001217997/]]|Bronze|ATX|140|fixed|x1|Gospower|不明|片面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC|Elite 85c|同期整流 + DC/DC|Elite 105c|&#x43;apXon|n/a|DF1202512SELN|yes|https://ru.gecid.com/power/cooler_master_mwe_bronze_650/|[[link:ftp://members.cybenetics.report/PDF_Reports/d/cybenetics_Jv8.pdf]]||||
||Cooler Master|[[G600 Gold MPW-6001-ACAAG-JP:https://kakaku.com/item/K0001407323/]]|Gold|ATX|140|fixed|x1|Huizhou Xin&#x48;uiYuan((金金金)暉源)|Model:2008|両面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Cooler Master|[[G800 Gold MPW-8001-ACAAG-JP:https://kakaku.com/item/K0001407324/]]|Gold|ATX|140|fixed|x1|Huizhou Xin&#x48;uiYuan((金金金)暉源)|Model:2008|両面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Cooler Master|[[MWE Gold 550 Full Modular MPY-5501-AFAAG:https://kakaku.com/item/K0001082222/]]|Gold|ATX|160|full|x1|Huizhou Xin&#x48;uiYuan((金金金)暉源)|Model:1908|両面|ﾌﾙﾌﾞﾘｯｼﾞ LLC|Elite 85c|同期整流 + DC/DC|Elite 105c|Elite|Elite electrolytic?|CM Silencio FP DF1202512RFLN|n/a|3C認証 : 2017010907007095|[[link:https://nl.hardware.info/artikel/8903/cooler-master-mwe-gold-voedingen-review-kan-een-80plus-gold-te-goedkoop-zijn]]|[[link:https://ru.gecid.com/power/cooler_master_mwe_gold_550/]]|||
|終売|Cooler Master|[[MWE Gold 550 MPY-5501-ACAAG:https://kakaku.com/item/K0001083422/]]|Gold|ATX|140|fixed|x1|Huizhou Xin&#x48;uiYuan((金金金)暉源)|Model:1908|両面|ﾌﾙﾌﾞﾘｯｼﾞ LLC|Elite 85c|同期整流 + DC/DC|12&#x4b;uangJin 105c|FPCAP|n/a|CM Silencio FP DF1202512RFLN|n/a|3C認証 : 2017010907007095|[[link:https://www.%65xpreview.com/58307-all.html]]||||
